Original Sentence,Source Link
Am 22. März 1985 unterzeichnete die Europäische Gemeinschaft gemeinsam mit mehreren Mitgliedstaaten das Wiener Übereinkommen zum Schutz der Ozonschicht und darauf folgend am 16. September 1987 auch das Montrealer Protokoll.,https://de.wikipedia.org/wiki/Verordnung_(EG)_Nr._1005/2009
"Im folgenden Jahr wurde die VERORDNUNG (EWG) Nr. 3322/88, als erste europäische Verordnung zur Regelung ozonschädigender Stoffe verabschiedet.",https://de.wikipedia.org/wiki/Verordnung_(EG)_Nr._1005/2009
"Zur Anpassung an die Änderungen des Montrealer Protokolls wurden durch nachfolgende Verordnungen die geregelten Substanzen immer weiter ergänzt und Ein- und Ausfuhr, Produktion und Verwendung weiter eingeschränkt, Fristen verkürzt und Substanzen letztendlich verboten.",https://de.wikipedia.org/wiki/Verordnung_(EG)_Nr._1005/2009
Unternehmen müssen die Emissionen von geregelten Stoffen in die Umwelt verhindern oder auf ein Mindestmaß reduzieren.,https://de.wikipedia.org/wiki/Verordnung_(EG)_Nr._1005/2009
"Francesco Calzolari stammte aus einer alteingesessenen Veroneser Familie, die sich bereits im 13. Jahrhundert unter Ezzelino da Romano einen Namen gemacht hatte.",https://de.wikipedia.org/wiki/Francesco_Calzolari
"Francescos kindliche Neugierde beschränkte sich aber nicht nur auf die Botanik, auch Mineralien, Fossilien, und Insekten weckten sein Interesse, die er bei seinen Wanderungen mit seinem Vater sammelte.",https://de.wikipedia.org/wiki/Francesco_Calzolari
"Die Apotheke seines Vaters wurde auch von Gelehrten aufgesucht, die dort ihre Meinungen und Erkenntnisse austauschten und die einen entscheidenden Einfluss auf den aufgeweckten, jungen Francesco Calzolari ausübten.",https://de.wikipedia.org/wiki/Francesco_Calzolari
"Calzolari trat in die Fußstapfen seines Vaters und widmete sich mit Hingabe seiner Arbeit in der Apotheke, deren Leitung er übernahm.",https://de.wikipedia.org/wiki/Francesco_Calzolari
"Auch wenn ihn seine Arbeit als Apotheker davon abhielt, viel zu verreisen, unterhielt er ganze Reihe von Briefkontakten, unter anderem mit dem Züricher Botaniker Conrad Gessner und dem Nürnberger Arzt und Botaniker Joachim Camerarius dem Jüngeren.",https://de.wikipedia.org/wiki/Francesco_Calzolari
"Um den Monte Baldo noch näher zu sein, ließ sich Calzolari in Rivoli Veronese am südlichen Rand der Bergkette ein Landhaus errichten.",https://de.wikipedia.org/wiki/Francesco_Calzolari
"Es gilt als erstes und ältestes Naturkundemuseum der Welt und ist erstmals 1554 dokumentiert, als Aldrovandi das von ihm als Naturae Theatrum beschriebene Museum besuchte.",https://de.wikipedia.org/wiki/Francesco_Calzolari
Diese kostete nur 20 Pfennig (ab 1871) und war damit die billigste und auflagenstärkste deutsche Buchreihe.,https://de.wikipedia.org/wiki/Liste_von_Bänden_von_Reclams_Universal-Bibliothek_Leipzig_1946–1990
"Im Mittelalter lag südöstlich des heutigen Hofguts eine Burg, von der heute nur noch der Burgstall erhalten ist.",https://de.wikipedia.org/wiki/Nessenreben
"Nach der Auflösung der Garnison Weingarten nach Beendigung des Ersten Weltkriegs wurde am oberen Froschweiher das städtische Freibad eingerichtet, dessen Vorläufer sich in der Nähe der Wileneggstrasse in Weingarten befanden.",https://de.wikipedia.org/wiki/Nessenreben
"In den Wäldern um Nessenreben findet man häufig Buchen, Eichen und Fichten",https://de.wikipedia.org/wiki/Nessenreben
"In den Wäldern leben Rehe, Wildschweine und Füchse, während die Wiesen und Felder Lebensraum für Vogelarten wie Rotkehlchen, Meisen und Bussarde bieten",https://de.wikipedia.org/wiki/Nessenreben
"Die Schweiz ist auch Mitgründer des Internationalen Rhönradturn-Verbandes (IRV), welcher 1995 gegründet wurde und seinen Sitz in Bern hat.",https://de.wikipedia.org/wiki/Rhönrad_in_der_Schweiz
Zusätzlich zu den drei Disziplinen wird im Level Elite der Mehrkampf angeboten.,https://de.wikipedia.org/wiki/Rhönrad_in_der_Schweiz
An den vier Qualifikationswettkämpfen können sich die besten Turner und Turnerinnen für die Schweizer Meisterschaft im März / April qualifizieren.,https://de.wikipedia.org/wiki/Rhönrad_in_der_Schweiz
"An der Schweizer Meisterschaft wird jeweils auch bekannt gegeben, wer die Schweiz an den Weltmeisterschaften vertreten darf.",https://de.wikipedia.org/wiki/Rhönrad_in_der_Schweiz
Die Premiere der deutschen Produktion mit Vishka Asayesh in der Hauptrolle als iranische Menschenrechtsaktivistin auf Freigang ist im September 2024 beim Toronto International Film Festival geplant.,https://de.wikipedia.org/wiki/Haft_Rooz
